work,book,n,id,n_syll,phones,quantity,accent,foot,flags,detail,text
Argonautica,1,1,arg_1_1,17,a r . kʰ oˊ . m e . n o s # s eˊ . o # pʰ oiˆ . b e # p a . l ai . g e . n eˊ . ɔː n # k l eˊ . a # pʰ ɔː . t ɔːˆ n,LSSLSSLSSLSSLSSLL,0A00A0C0000A0A00C,11122233344455566,0:position_ambiguous,"[{""text"": ""ἀρ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""a"", ""r""], ""flags"": [""position_ambiguous""]}, {""text"": ""χό"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""kʰ"", ""o""], ""flags"": []}, {""text"": ""με"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""m"", ""e""], ""flags"": []}, {""text"": ""νος"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""n"", ""o"", ""s""], ""flags"": []}, {""text"": ""σέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""s"", ""e""], ""flags"": []}, {""text"": ""ο,"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""o""], ""flags"": []}, {""text"": ""Φοῖ"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 3, ""ph"": [""pʰ"", ""oi""], ""flags"": []}, {""text"": ""βε,"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""b"", ""e""], ""flags"": []}, {""text"": ""πα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""p"", ""a""], ""flags"": []}, {""text"": ""λαι"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""l"", ""ai""], ""flags"": []}, {""text"": ""γε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""g"", ""e""], ""flags"": []}, {""text"": ""νέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""n"", ""e""], ""flags"": []}, {""text"": ""ων"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""ɔː"", ""n""], ""flags"": []}, {""text"": ""κλέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""k"", ""l"", ""e""], ""flags"": []}, {""text"": ""α"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""a""], ""flags"": []}, {""text"": ""φω"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""pʰ"", ""ɔː""], ""flags"": []}, {""text"": ""τῶν"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 6, ""ph"": [""t"", ""ɔː"", ""n""], ""flags"": []}]","ἀρχόμενος σέο, Φοῖβε, παλαιγενέων κλέα φωτῶν"
Argonautica,1,2,arg_1_2,16,m n ɛːˊ . s o . m ai # h oiˋ # p oˊ n . t oi . o # k a . t aˋ # s t oˊ . m a # k aiˋ # d i . aˋ # p eˊ t . r a s,LSSLLLSSLSSLSSLL,A00GA000GA0G0GA0,1112233344455566,2:correption;8:lexicon;15:line_final_ambiguous,"[{""text"": ""μνή"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""m"", ""n"", ""ɛː""], ""flags"": []}, {""text"": ""σο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""s"", ""o""], ""flags"": []}, {""text"": ""μαι,"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""m"", ""ai""], ""flags"": [""correption""]}, {""text"": ""οἳ"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 2, ""ph"": [""h"", ""oi""], ""flags"": []}, {""text"": ""Πόν"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""p"", ""o"", ""n""], ""flags"": []}, {""text"": ""τοι"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""t"", ""oi""], ""flags"": []}, {""text"": ""ο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""o""], ""flags"": []}, {""text"": ""κα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""k"", ""a""], ""flags"": []}, {""text"": ""τὰ"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 4, ""ph"": [""t"", ""a""], ""flags"": [""lexicon""]}, {""text"": ""στό"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""s"", ""t"", ""o""], ""flags"": []}, {""text"": ""μα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""m"", ""a""], ""flags"": []}, {""text"": ""καὶ"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 5, ""ph"": [""k"", ""ai""], ""flags"": []}, {""text"": ""δι"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""d"", ""i""], ""flags"": []}, {""text"": ""ὰ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 5, ""ph"": [""a""], ""flags"": []}, {""text"": ""πέτ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 6, ""ph"": [""p"", ""e"", ""t""], ""flags"": []}, {""text"": ""ρας"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""r"", ""a"", ""s""], ""flags"": [""line_final_ambiguous""]}]","μνήσομαι, οἳ Πόντοιο κατὰ στόμα καὶ διὰ πέτρας"
Argonautica,1,3,arg_1_3,17,k yː . a . n eˊ . a z # b a . s i . l ɛːˆ . o s # e . pʰ ɛː . m o . s yˊ . n ɛːi # p e . l iˊ . aː . o,LSSLSSLSSLSSLSSLL,00A000C0000A00A00,11122233344455566,3:position_ambiguous,"[{""text"": ""Κυ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""k"", ""yː""], ""flags"": []}, {""text"": ""α"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""a""], ""flags"": []}, {""text"": ""νέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""n"", ""e""], ""flags"": []}, {""text"": ""ας"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""a"", ""z""], ""flags"": [""position_ambiguous""]}, {""text"": ""βα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""b"", ""a""], ""flags"": []}, {""text"": ""σι"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""s"", ""i""], ""flags"": []}, {""text"": ""λῆ"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 3, ""ph"": [""l"", ""ɛː""], ""flags"": []}, {""text"": ""ος"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""o"", ""s""], ""flags"": []}, {""text"": ""ἐ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""e""], ""flags"": []}, {""text"": ""φη"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""pʰ"", ""ɛː""], ""flags"": []}, {""text"": ""μο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""m"", ""o""], ""flags"": []}, {""text"": ""σύ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""s"", ""y""], ""flags"": []}, {""text"": ""νῃ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""n"", ""ɛːi""], ""flags"": []}, {""text"": ""Πε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""p"", ""e""], ""flags"": []}, {""text"": ""λί"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""l"", ""i""], ""flags"": []}, {""text"": ""α"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""aː""], ""flags"": []}, {""text"": ""ο"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""o""], ""flags"": []}]",Κυανέας βασιλῆος ἐφημοσύνῃ Πελίαο
Argonautica,1,4,arg_1_4,16,kʰ r yːˊ . s eː . o n # m e . t aˋ # k ɔːˆ . a s # e . yˊ . z d y . g o n # ɛːˊ . l a . s a n # a r . g ɔːˊ,LLLSSLSSLSSLSSLL,A000GC00A00A000A,1122233344455566,8:position_ambiguous;14:position_ambiguous,"[{""text"": ""χρύ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""kʰ"", ""r"", ""yː""], ""flags"": []}, {""text"": ""σει"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""s"", ""eː""], ""flags"": []}, {""text"": ""ον"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""o"", ""n""], ""flags"": []}, {""text"": ""με"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""m"", ""e""], ""flags"": []}, {""text"": ""τὰ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 2, ""ph"": [""t"", ""a""], ""flags"": []}, {""text"": ""κῶ"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 3, ""ph"": [""k"", ""ɔː""], ""flags"": []}, {""text"": ""ας"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""a"", ""s""], ""flags"": []}, {""text"": ""ἐ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""e""], ""flags"": []}, {""text"": ""ύ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""y""], ""flags"": [""position_ambiguous""]}, {""text"": ""ζυ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""z"", ""d"", ""y""], ""flags"": []}, {""text"": ""γον"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""g"", ""o"", ""n""], ""flags"": []}, {""text"": ""ἤ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""ɛː""], ""flags"": []}, {""text"": ""λα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""l"", ""a""], ""flags"": []}, {""text"": ""σαν"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""s"", ""a"", ""n""], ""flags"": []}, {""text"": ""Ἀρ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""a"", ""r""], ""flags"": [""position_ambiguous""]}, {""text"": ""γώ."", ""q"": ""L"", ""acc"": ""A"", ""foot"": 6, ""ph"": [""g"", ""ɔː""], ""flags"": []}]",χρύσειον μετὰ κῶας ἐύζυγον ἤλασαν Ἀργώ.
Argonautica,1,5,arg_1_5,16,t oiˊ . ɛː n # g aˋ r # p e . l iˊ . ɛː s # pʰ aˊ . t i n # eˊ k . l y . e n # h ɔːˊ z # m i n # o . p iˊ s . s ɔː,LLLSSLSSLSSLSSLL,A0G0A0A0A00A00A0,1122233344455566,2:lexicon;14:lexicon,"[{""text"": ""τοί"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""t"", ""oi""], ""flags"": []}, {""text"": ""ην"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""ɛː"", ""n""], ""flags"": []}, {""text"": ""γὰρ"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 2, ""ph"": [""g"", ""a"", ""r""], ""flags"": [""lexicon""]}, {""text"": ""Πε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""p"", ""e""], ""flags"": []}, {""text"": ""λί"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""l"", ""i""], ""flags"": []}, {""text"": ""ης"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""ɛː"", ""s""], ""flags"": []}, {""text"": ""φά"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 3, ""ph"": [""pʰ"", ""a""], ""flags"": []}, {""text"": ""τιν"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""t"", ""i"", ""n""], ""flags"": []}, {""text"": ""ἔκ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""e"", ""k""], ""flags"": []}, {""text"": ""λυ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""l"", ""y""], ""flags"": []}, {""text"": ""εν,"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""e"", ""n""], ""flags"": []}, {""text"": ""ὥς"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""h"", ""ɔː"", ""z""], ""flags"": []}, {""text"": ""μιν"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""m"", ""i"", ""n""], ""flags"": []}, {""text"": ""ὀ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""o""], ""flags"": []}, {""text"": ""πίσ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 6, ""ph"": [""p"", ""i"", ""s""], ""flags"": [""lexicon""]}, {""text"": ""σω"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""s"", ""ɔː""], ""flags"": []}]","τοίην γὰρ Πελίης φάτιν ἔκλυεν, ὥς μιν ὀπίσσω"
Argonautica,1,6,arg_1_6,16,m oiˆ . r a # m eˊ . n eː # s t y . g e . r ɛːˊ # t uːˆ d # aː . n eˊ . r o s # h oˊ n . t i n # iˊ . d oi . t o,LSSLSSLLLSSLSSLL,C0A000AC0A0A0A00,1112223344455566,,"[{""text"": ""μοῖ"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 1, ""ph"": [""m"", ""oi""], ""flags"": []}, {""text"": ""ρα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""r"", ""a""], ""flags"": []}, {""text"": ""μέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""m"", ""e""], ""flags"": []}, {""text"": ""νει"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""n"", ""eː""], ""flags"": []}, {""text"": ""στυ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""s"", ""t"", ""y""], ""flags"": []}, {""text"": ""γε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""g"", ""e""], ""flags"": []}, {""text"": ""ρή,"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 3, ""ph"": [""r"", ""ɛː""], ""flags"": []}, {""text"": ""τοῦδ’"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 3, ""ph"": [""t"", ""uː"", ""d""], ""flags"": []}, {""text"": ""ἀ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""aː""], ""flags"": []}, {""text"": ""νέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""n"", ""e""], ""flags"": []}, {""text"": ""ρος,"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""r"", ""o"", ""s""], ""flags"": []}, {""text"": ""ὅν"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""h"", ""o"", ""n""], ""flags"": []}, {""text"": ""τιν’"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""t"", ""i"", ""n""], ""flags"": []}, {""text"": ""ἴ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""i""], ""flags"": []}, {""text"": ""δοι"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""d"", ""oi""], ""flags"": []}, {""text"": ""το"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""t"", ""o""], ""flags"": []}]","μοῖρα μένει στυγερή, τοῦδ’ ἀνέρος, ὅντιν’ ἴδοιτο"
Argonautica,1,7,arg_1_7,17,d ɛː . m oˊ . tʰ e n # oi . o . p eˊ . d iː . l o n # h y p # e n . n e . s iˊ . ɛːi . s i # d a . m ɛːˆ . n ai,LSSLSSLSSLSSLSSLL,0A000A00000A000C0,11122233344455566,,"[{""text"": ""δη"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""d"", ""ɛː""], ""flags"": []}, {""text"": ""μό"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""m"", ""o""], ""flags"": []}, {""text"": ""θεν"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""tʰ"", ""e"", ""n""], ""flags"": []}, {""text"": ""οἰ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""oi""], ""flags"": []}, {""text"": ""ο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""o""], ""flags"": []}, {""text"": ""πέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""p"", ""e""], ""flags"": []}, {""text"": ""δι"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""d"", ""iː""], ""flags"": []}, {""text"": ""λον,"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""l"", ""o"", ""n""], ""flags"": []}, {""text"": ""ὑπ’"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""h"", ""y"", ""p""], ""flags"": []}, {""text"": ""ἐν"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""e"", ""n""], ""flags"": []}, {""text"": ""νε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""n"", ""e""], ""flags"": []}, {""text"": ""σί"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""s"", ""i""], ""flags"": []}, {""text"": ""ῃ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""ɛːi""], ""flags"": []}, {""text"": ""σι"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""s"", ""i""], ""flags"": []}, {""text"": ""δα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""d"", ""a""], ""flags"": []}, {""text"": ""μῆ"", ""q"": ""L"", ""acc"": ""C"", ""foot"": 6, ""ph"": [""m"", ""ɛː""], ""flags"": []}, {""text"": ""ναι."", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""n"", ""ai""], ""flags"": []}]","δημόθεν οἰοπέδιλον, ὑπ’ ἐννεσίῃσι δαμῆναι."
Argonautica,1,8,arg_1_8,16,d ɛː . r oˋ n # d uː # m e . t eˊ . p eː . t a # t e . ɛːˋ n # k a . t aˋ # b aˊ . k s i n # i . ɛːˊ . s ɔː n,LLLSSLSSLSSLSSLL,0G00A000G0GA00A0,1122233344455566,11:position_ambiguous,"[{""text"": ""δη"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""d"", ""ɛː""], ""flags"": []}, {""text"": ""ρὸν"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 1, ""ph"": [""r"", ""o"", ""n""], ""flags"": []}, {""text"": ""δ’οὐ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""d"", ""uː""], ""flags"": []}, {""text"": ""με"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""m"", ""e""], ""flags"": []}, {""text"": ""τέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""t"", ""e""], ""flags"": []}, {""text"": ""πει"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""p"", ""eː""], ""flags"": []}, {""text"": ""τα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""t"", ""a""], ""flags"": []}, {""text"": ""τε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""t"", ""e""], ""flags"": []}, {""text"": ""ὴν"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 4, ""ph"": [""ɛː"", ""n""], ""flags"": []}, {""text"": ""κα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""k"", ""a""], ""flags"": []}, {""text"": ""τὰ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 4, ""ph"": [""t"", ""a""], ""flags"": []}, {""text"": ""βά"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""b"", ""a""], ""flags"": [""position_ambiguous""]}, {""text"": ""ξιν"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""k"", ""s"", ""i"", ""n""], ""flags"": []}, {""text"": ""Ἰ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""i""], ""flags"": []}, {""text"": ""ή"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 6, ""ph"": [""ɛː""], ""flags"": []}, {""text"": ""σων"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""s"", ""ɔː"", ""n""], ""flags"": []}]",δηρὸν δ’ οὐ μετέπειτα τεὴν κατὰ βάξιν Ἰήσων
Argonautica,1,9,arg_1_9,17,kʰ eː . m e . r iˊ . oi . o # r̥ eˊ . e tʰ . r a # k i . ɔːˋ n # d i . aˋ # p o s . s iˋ n # a . n auˊ . r uː,LSSLSSLSSLSSLSSLL,00A00A000G0G0G0A0,11122233344455566,,"[{""text"": ""χει"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""kʰ"", ""eː""], ""flags"": []}, {""text"": ""με"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""m"", ""e""], ""flags"": []}, {""text"": ""ρί"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""r"", ""i""], ""flags"": []}, {""text"": ""οι"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""oi""], ""flags"": []}, {""text"": ""ο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""o""], ""flags"": []}, {""text"": ""ῥέ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""r̥"", ""e""], ""flags"": []}, {""text"": ""εθ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""e"", ""tʰ""], ""flags"": []}, {""text"": ""ρα"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""r"", ""a""], ""flags"": []}, {""text"": ""κι"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""k"", ""i""], ""flags"": []}, {""text"": ""ὼν"", ""q"": ""L"", ""acc"": ""G"", ""foot"": 4, ""ph"": [""ɔː"", ""n""], ""flags"": []}, {""text"": ""δι"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""d"", ""i""], ""flags"": []}, {""text"": ""ὰ"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 4, ""ph"": [""a""], ""flags"": []}, {""text"": ""ποσ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""p"", ""o"", ""s""], ""flags"": []}, {""text"": ""σὶν"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 5, ""ph"": [""s"", ""i"", ""n""], ""flags"": []}, {""text"": ""Ἀ"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""a""], ""flags"": []}, {""text"": ""ναύ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 6, ""ph"": [""n"", ""au""], ""flags"": []}, {""text"": ""ρου"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""r"", ""uː""], ""flags"": []}]",χειμερίοιο ῥέεθρα κιὼν διὰ ποσσὶν Ἀναύρου
Argonautica,1,10,arg_1_10,17,aˊ l . l o # m eˋ n # e . k s e . s aˊ . ɔː . s e n # h y p # iː . l yˊ . o s # aˊ l . l o # d eˊ . n e r . tʰ e n,LSSLSSLSSLSSLSSLL,A0G00A0000A0A0A00,11122233344455566,0:position_ambiguous;12:position_ambiguous,"[{""text"": ""ἄλ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 1, ""ph"": [""a"", ""l""], ""flags"": [""position_ambiguous""]}, {""text"": ""λο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 1, ""ph"": [""l"", ""o""], ""flags"": []}, {""text"": ""μὲν"", ""q"": ""S"", ""acc"": ""G"", ""foot"": 1, ""ph"": [""m"", ""e"", ""n""], ""flags"": []}, {""text"": ""ἐ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""e""], ""flags"": []}, {""text"": ""ξε"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 2, ""ph"": [""k"", ""s"", ""e""], ""flags"": []}, {""text"": ""σά"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 2, ""ph"": [""s"", ""a""], ""flags"": []}, {""text"": ""ω"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""ɔː""], ""flags"": []}, {""text"": ""σεν"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""s"", ""e"", ""n""], ""flags"": []}, {""text"": ""ὑπ’"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 3, ""ph"": [""h"", ""y"", ""p""], ""flags"": []}, {""text"": ""ἰ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""iː""], ""flags"": []}, {""text"": ""λύ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 4, ""ph"": [""l"", ""y""], ""flags"": []}, {""text"": ""ος,"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 4, ""ph"": [""o"", ""s""], ""flags"": []}, {""text"": ""ἄλ"", ""q"": ""L"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""a"", ""l""], ""flags"": [""position_ambiguous""]}, {""text"": ""λο"", ""q"": ""S"", ""acc"": ""0"", ""foot"": 5, ""ph"": [""l"", ""o""], ""flags"": []}, {""text"": ""δ’ἔ"", ""q"": ""S"", ""acc"": ""A"", ""foot"": 5, ""ph"": [""d"", ""e""], ""flags"": []}, {""text"": ""νερ"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""n"", ""e"", ""r""], ""flags"": []}, {""text"": ""θεν"", ""q"": ""L"", ""acc"": ""0"", ""foot"": 6, ""ph"": [""tʰ"", ""e"", ""n""], ""flags"": []}]","ἄλλο μὲν ἐξεσάωσεν ὑπ’ ἰλύος, ἄλλο δ’ ἔνερθεν"
