work,tlg,book,n,text,text_clean,source
Epitaphius Adonis,tlg001,1,1,Αἰάζω τὸν Ἄδωνιν· ἀπώλετο καλὸς Ἄδωνις·,Αἰάζω τὸν Ἄδωνιν· ἀπώλετο καλὸς Ἄδωνις·,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,2,ὤλετο καλὸς Ἄδωνις ἐπαιάζουσιν Ἔρωτες.,ὤλετο καλὸς Ἄδωνις ἐπαιάζουσιν Ἔρωτες.,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,3,μηκέτι πορφυρέοις ἐνὶ φάρεσι Κύπρι κάθευδε·,μηκέτι πορφυρέοις ἐνὶ φάρεσι Κύπρι κάθευδε·,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,4,"ἔγρεο δειλαία, κυανόστολα καὶ πλατάγησον","ἔγρεο δειλαία, κυανόστολα καὶ πλατάγησον",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,5,στήθεα καὶ λέγε πᾶσιν ἀπώλετο καλὸς Ἄδωνις.,στήθεα καὶ λέγε πᾶσιν ἀπώλετο καλὸς Ἄδωνις.,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,6,αἰάζω τὸν Ἄδωνιν· ἐπαιάζουσιν Ἔρωτες.,αἰάζω τὸν Ἄδωνιν· ἐπαιάζουσιν Ἔρωτες.,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,7,"κεῖται καλὸς Ἄδωνις ἐν ὤρεσι μηρὸν ὀδόντι,","κεῖται καλὸς Ἄδωνις ἐν ὤρεσι μηρὸν ὀδόντι,",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,8,"λευκῷ λευκὸν ὀδόντι τυπείς, καὶ Κύπριν ἀνιῇ","λευκῷ λευκὸν ὀδόντι τυπείς, καὶ Κύπριν ἀνιῇ",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,9,λεπτὸν ἀποψύχων· τὸ δέ οἱ μέλαν εἴβεται αἷμα,λεπτὸν ἀποψύχων· τὸ δέ οἱ μέλαν εἴβεται αἷμα,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,10,"χιονέας κατὰ σαρκός, ὑπ’ ὀφρύσι δ’ ὄμματα ναρκῇ,","χιονέας κατὰ σαρκός, ὑπ’ ὀφρύσι δ’ ὄμματα ναρκῇ,",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,11,καὶ τὸ ῥόδον φεύγει τῶ χείλεος· ἀμφὶ δὲ τήνῳ,καὶ τὸ ῥόδον φεύγει τῶ χείλεος· ἀμφὶ δὲ τήνῳ,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,12,"θνᾴσκει καὶ τὸ φίλημα, τὸ μήποτε Κύπρις ἀνοίσει.","θνᾴσκει καὶ τὸ φίλημα, τὸ μήποτε Κύπρις ἀνοίσει.",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,13,"Κύπριδι μὲν τὸ φίλημα καὶ οὐ ζώοντος ἀρέσκει,","Κύπριδι μὲν τὸ φίλημα καὶ οὐ ζώοντος ἀρέσκει,",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,14,"ἀλλ’ οὐκ οἶδεν Ἄδωνις, ὅ νιν θνᾴσκοντ’ ἐφίλησεν.","ἀλλ’ οὐκ οἶδεν Ἄδωνις, ὅ νιν θνᾴσκοντ’ ἐφίλησεν.",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,15,αἰάζω τὸν Ἄδωνιν· ἐπαιάζουσιν Ἔρωτες.,αἰάζω τὸν Ἄδωνιν· ἐπαιάζουσιν Ἔρωτες.,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,16,ἄγριον ἄγριον ἕλκος ἔχει κατὰ μηρὸν Ἄδωνις·,ἄγριον ἄγριον ἕλκος ἔχει κατὰ μηρὸν Ἄδωνις·,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,17,μεῖζον δ’ ἁ Κυθέρεια φέρει ποτικάρδιον ἕλκος.,μεῖζον δ’ ἁ Κυθέρεια φέρει ποτικάρδιον ἕλκος.,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,18,τῆνον μὲν περὶ παῖδα φίλοι κύνες ὠδύραντο,τῆνον μὲν περὶ παῖδα φίλοι κύνες ὠδύραντο,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,19,καὶ Νύμφαι κλαίουσιν ὀρειάδες· ἁ δ’ Ἀφροδίτα,καὶ Νύμφαι κλαίουσιν ὀρειάδες· ἁ δ’ Ἀφροδίτα,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,20,λυσαμένα πλοκαμῖδας ἀνὰ δρυμὼς ἀλάληται,λυσαμένα πλοκαμῖδας ἀνὰ δρυμὼς ἀλάληται,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,21,πενθαλέα νήπλεκτος ἀσάνδαλος· αἱ δὲ βάτοι νιν,πενθαλέα νήπλεκτος ἀσάνδαλος· αἱ δὲ βάτοι νιν,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,22,ἐρχομέναν κείροντι καὶ ἱερὸν αἷμα δρέπονται·,ἐρχομέναν κείροντι καὶ ἱερὸν αἷμα δρέπονται·,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,23,ὀξὺ δὲ κωκύουσα δι’ ἄγκεα μακρὰ φορεῖται,ὀξὺ δὲ κωκύουσα δι’ ἄγκεα μακρὰ φορεῖται,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,24,Ἀσσύριον βοόωσα πόσιν καὶ παῖδα καλεῦσα.,Ἀσσύριον βοόωσα πόσιν καὶ παῖδα καλεῦσα.,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,25,"ἀμφὶ δέ νιν μέλαν αἷμα παρ’ ὀμφαλὸν ᾀωρεῖτο,","ἀμφὶ δέ νιν μέλαν αἷμα παρ’ ὀμφαλὸν ᾀωρεῖτο,",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,26,"στήθεα δ’ ἐκ μηρῶν φοινίσσετο, τοὶ δ’ ὑπὸ μαζοὶ","στήθεα δ’ ἐκ μηρῶν φοινίσσετο, τοὶ δ’ ὑπὸ μαζοὶ",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,27,χιόνεοι τὸ πάροιθεν Ἀδώνιδι πορφύροντο.,χιόνεοι τὸ πάροιθεν Ἀδώνιδι πορφύροντο.,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,28,αἰαῖ τὰν Κυθέρειαν ἐπαιάζουσιν Ἔρωτες.,αἰαῖ τὰν Κυθέρειαν ἐπαιάζουσιν Ἔρωτες.,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,29,"ὤλεσε τὸν καλὸν ἄνδρα, συνώλεσεν ἱερὸν εἶδος.","ὤλεσε τὸν καλὸν ἄνδρα, συνώλεσεν ἱερὸν εἶδος.",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,30,"Κύπριδι μὲν καλὸν εἶδος, ὅτε ζώεσκεν Ἄδωνις·","Κύπριδι μὲν καλὸν εἶδος, ὅτε ζώεσκεν Ἄδωνις·",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,31,κάτθανε δ’ ἁ μορφὰ σὺν Ἀδώνιδι. τὰν Κύπριν αἰαῖ,κάτθανε δ’ ἁ μορφὰ σὺν Ἀδώνιδι. τὰν Κύπριν αἰαῖ,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,32,"ὤρεα πάντα λέγοντι, καὶ αἱ δρύες αἲ τὸν Ἄδωνιν.","ὤρεα πάντα λέγοντι, καὶ αἱ δρύες αἲ τὸν Ἄδωνιν.",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,33,"καὶ ποταμοὶ κλαίουσι τὰ πένθεα τᾶς Ἀφροδίτας,","καὶ ποταμοὶ κλαίουσι τὰ πένθεα τᾶς Ἀφροδίτας,",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,34,"καὶ παγαὶ τὸν Ἄδωνιν ἐν ὤρεσι δακρύοντι,","καὶ παγαὶ τὸν Ἄδωνιν ἐν ὤρεσι δακρύοντι,",tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,35,ἄνθεα δ’ ἐξ ὀδύνας ἐρυθαίνεται· ἁ δὲ Κυθήρα,ἄνθεα δ’ ἐξ ὀδύνας ἐρυθαίνεται· ἁ δὲ Κυθήρα,tlg0036.tlg001.perseus-grc2.xml
Epitaphius Adonis,tlg001,1,36,"πάντας ἀνὰ κναμώς, ἀνὰ πᾶν νάπος οἰκτρὸν ἀείδει","πάντας ἀνὰ κναμώς, ἀνὰ πᾶν νάπος οἰκτρὸν ἀείδει",tlg0036.tlg001.perseus-grc2.xml
