work,tlg,book,n,text,text_clean,source
The Rape of Helen,tlg001,1,1,"νύμφαι Τρωιάδες, ποταμοῦ Ξάνθοιο γενέθλη,","νύμφαι Τρωιάδες, ποταμοῦ Ξάνθοιο γενέθλη,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,2,αἳ πλοκάμων κρήδεμνα καὶ ἱερὰ παίγνια χειρῶν,αἳ πλοκάμων κρήδεμνα καὶ ἱερὰ παίγνια χειρῶν,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,3,πολλάκι πατρῴῃσιν ἐπὶ ψαμάθοισι λιποῦσαι,πολλάκι πατρῴῃσιν ἐπὶ ψαμάθοισι λιποῦσαι,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,4,"ἐς χορὸν Ἰδαίῃσιν ἐπεντύνασθε χορείαις,","ἐς χορὸν Ἰδαίῃσιν ἐπεντύνασθε χορείαις,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,5,"δεῦτε, θεμιστοπόλοιο νοήματα μηλοβοτῆρος","δεῦτε, θεμιστοπόλοιο νοήματα μηλοβοτῆρος",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,6,"εἴπατέ μοι, κελάδοντος ἀπορνύμεναι ποταμοῖο,","εἴπατέ μοι, κελάδοντος ἀπορνύμεναι ποταμοῖο,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,7,ἐξ ὀρέων πόθεν ἦλθεν ἀήθεα πόντον ἐλαύνων,ἐξ ὀρέων πόθεν ἦλθεν ἀήθεα πόντον ἐλαύνων,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,8,ἀγνώσσων ἁλὸς ἔργα; τί δὲ χρέος ἔπλετο νηῶν,ἀγνώσσων ἁλὸς ἔργα; τί δὲ χρέος ἔπλετο νηῶν,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,9,"ἀρχεκάκων, ἵνα πόντον ὁμοῦ καὶ γαῖαν ὀρίνῃ","ἀρχεκάκων, ἵνα πόντον ὁμοῦ καὶ γαῖαν ὀρίνῃ",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,10,"βουκόλος; ὠγυγίη δὲ τίς ἔπλετο νείκεος ἀρχή,","βουκόλος; ὠγυγίη δὲ τίς ἔπλετο νείκεος ἀρχή,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,11,ὄφρα καὶ ἀθανάτοισι θεμιστεύσωσι νομῆες;,ὄφρα καὶ ἀθανάτοισι θεμιστεύσωσι νομῆες;,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,12,τίς δὲ δικασπολίη; πόθεν ἔκλυεν οὔνομα νύμφης,τίς δὲ δικασπολίη; πόθεν ἔκλυεν οὔνομα νύμφης,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,13,Ἀργείης; αὐταὶ γὰρ ἐθηήσασθε μολοῦσαι,Ἀργείης; αὐταὶ γὰρ ἐθηήσασθε μολοῦσαι,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,14,Ἰδαίης τρικάρηνον ὑπὸ πρηῶνα Φαλάκρης,Ἰδαίης τρικάρηνον ὑπὸ πρηῶνα Φαλάκρης,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,15,καὶ Πάριν οἰοπόλοισιν ἐφεδριόωντα θοώκοις,καὶ Πάριν οἰοπόλοισιν ἐφεδριόωντα θοώκοις,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,16,καὶ Χαρίτων βασίλειαν ἀγαλλομένην Ἀφροδίτην.,καὶ Χαρίτων βασίλειαν ἀγαλλομένην Ἀφροδίτην.,tlg4081.tlg001.perseus-grc2.xml
