book,idx,perseus_n,reason
2,551,551,alignment_failed (MFA produced no alignment)
4,260,260,alignment_failed (MFA produced no alignment)
4,399,399,alignment_failed (MFA produced no alignment)
5,65,65,alignment_failed (MFA produced no alignment)
5,370,370,alignment_failed (MFA produced no alignment)
5,632,632,not_recorded (server 404)
6,343,343,alignment_failed (MFA produced no alignment)
7,138,138,not_recorded (server 404)
7,141,141,not_recorded (server 404)
7,142,142,not_recorded (server 404)
8,244,244,not_recorded (server 404)
8,252,252,not_recorded (server 404)
8,562,,no_such_line (index beyond Chamberlain's text; vulgate numbering differs)
8,563,,no_such_line (index beyond Chamberlain's text; vulgate numbering differs)
8,564,,no_such_line (index beyond Chamberlain's text; vulgate numbering differs)
8,565,,no_such_line (index beyond Chamberlain's text; vulgate numbering differs)
9,188,188,stub_after_trim (trimmed 0.73s)
9,538,542,not_recorded (server 404)
9,710,,no_such_line (index beyond Chamberlain's text; vulgate numbering differs)
9,711,,no_such_line (index beyond Chamberlain's text; vulgate numbering differs)
9,712,,no_such_line (index beyond Chamberlain's text; vulgate numbering differs)
9,713,,no_such_line (index beyond Chamberlain's text; vulgate numbering differs)
10,103,103,not_recorded (server 404)
10,302,302,not_recorded (server 404)
10,346,346,not_recorded (server 404)
10,348,348,not_recorded (server 404)
11,150,150,not_recorded (server 404)
11,151,151,not_recorded (server 404)
11,152,152,not_recorded (server 404)
11,153,153,not_recorded (server 404)
11,154,154,not_recorded (server 404)
11,848,,no_such_line (index beyond Chamberlain's text; vulgate numbering differs)
13,221,221,alignment_failed (MFA produced no alignment)
14,522,,no_such_line (index beyond Chamberlain's text; vulgate numbering differs)
16,250,250,alignment_failed (MFA produced no alignment)
16,251,251,alignment_failed (MFA produced no alignment)
17,245,245,stub_audio (speech 0.04s)
17,560,560,stub_audio (speech 0.66s)
17,668,668,stub_audio (speech 0.70s)
17,714,714,stub_audio (speech 0.08s)
18,64,64,stub_audio (speech 1.08s)
18,356,356,stub_audio (speech 0.48s)
18,392,392,stub_audio (speech 0.10s)
18,617,,no_such_line (index beyond Chamberlain's text; vulgate numbering differs)
19,73,73,stub_audio (speech 0.68s)
20,490,490,broken_mp4
21,368,368,stub_audio (speech 0.96s)
21,427,427,outlier_duration (speech 12.36s)
21,447,447,broken_mp4
22,76,76,stub_audio (speech 0.60s)
22,130,130,stub_audio (speech 1.56s)
22,336,336,stub_audio (speech 0.42s)
23,236,236,stub_audio (speech 0.06s)
23,305,305,stub_audio (speech 0.44s)
23,481,481,stub_audio (speech 0.16s)
23,617,617,stub_audio (speech 0.02s)
23,626,626,stub_audio (speech 0.56s)
23,707,707,stub_audio (speech 0.06s)
24,88,88,stub_audio (speech 0.02s)
24,216,216,stub_audio (speech 0.84s)
24,227,227,stub_audio (speech 1.26s)
