work,tlg,book,n,text,text_clean,source
Eros Drapeta,tlg001,1,1,Ἁ Κύπρις τὸν Ἔρωτα τὸν υἱέα μακρὸν ἐβώστρει·,Ἁ Κύπρις τὸν Ἔρωτα τὸν υἱέα μακρὸν ἐβώστρει·,tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,2,"‘ὅστις ἐνὶ τριόδοισι πλανώμενον εἶδεν Ἔρωτα,","’ ὅστις ἐνὶ τριόδοισι πλανώμενον εἶδεν Ἔρωτα,",tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,3,δραπετίδας ἐμός ἐστιν· ὁ μανύσας γέρας ἑξεῖ·,δραπετίδας ἐμός ἐστιν· ὁ μανύσας γέρας ἑξεῖ·,tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,4,"μισθός τοι τὸ φίλημα τὸ Κύπριδος· ἢν δ’ ἀγάγῃ νιν,","μισθός τοι τὸ φίλημα τὸ Κύπριδος· ἢν δ’ ἀγάγῃ νιν,",tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,5,"οὐ γυμνὸν τὸ φίλημα, τὺ δ’ ὦ ξένε καὶ πλέον ἑξεῖς.","οὐ γυμνὸν τὸ φίλημα, τὺ δ’ ὦ ξένε καὶ πλέον ἑξεῖς.",tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,6,ἔστι δ’ ὁ παῖς περίσαμος· ἐν εἴκοσι παισὶ μάθοις νιν.,ἔστι δ’ ὁ παῖς περίσαμος· ἐν εἴκοσι παισὶ μάθοις νιν.,tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,7,"χρῶτα μὲν οὐ λεύκος, πυρὶ δ’ εἴκελος· ὄμματα δ’ αὐτῷ","χρῶτα μὲν οὐ λεύκος, πυρὶ δ’ εἴκελος· ὄμματα δ’ αὐτῷ",tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,8,"δριμύλα καὶ φλογόεντα· κακαὶ φρένες, ἁδὺ λάλημα·","δριμύλα καὶ φλογόεντα· κακαὶ φρένες, ἁδὺ λάλημα·",tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,9,"οὐ γὰρ ἴσον νοέει καὶ φθέγγεται· ὡς μέλι φωνά,","οὐ γὰρ ἴσον νοέει καὶ φθέγγεται· ὡς μέλι φωνά,",tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,10,"ὡς δὲ χολὰ νόος ἐστὶν· ἀνάμερος, ἠπεροπευτάς,","ὡς δὲ χολὰ νόος ἐστὶν· ἀνάμερος, ἠπεροπευτάς,",tlg0035.tlg001.perseus-grc2.xml
