work,tlg,book,n,text,text_clean,source
The Taking of Ilios,tlg001,1,1,τέρμα πολυκμήτοιο μεταχρόνιον πολέμοιο,τέρμα πολυκμήτοιο μεταχρόνιον πολέμοιο,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,2,"καὶ λόχον, Ἀργείης ἱππήλατον ἔργον Ἀθήνης,","καὶ λόχον, Ἀργείης ἱππήλατον ἔργον Ἀθήνης,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,3,αὐτίκα μοι σπεύδοντι πολὺν διὰ μῦθον ἀνεῖσα,αὐτίκα μοι σπεύδοντι πολὺν διὰ μῦθον ἀνεῖσα,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,4,"ἔννεπε, Καλλιόπεια, καὶ ἀρχαίην ἔριν ἀνδρῶν","ἔννεπε, Καλλιόπεια, καὶ ἀρχαίην ἔριν ἀνδρῶν",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,5,κεκριμένου πολέμοιο ταχείῃ λῦσον ἀοιδῇ.,κεκριμένου πολέμοιο ταχείῃ λῦσον ἀοιδῇ.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,6,ἤδη μὲν δεκάτοιο κυλινδομένου λυκάβαντος,ἤδη μὲν δεκάτοιο κυλινδομένου λυκάβαντος,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,7,γηραλέη τετάνυστο φόνων ἀκόρητος Ἐνυὼ,γηραλέη τετάνυστο φόνων ἀκόρητος Ἐνυὼ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,8,Τρωσί τε καὶ Δαναοῖσιν· ἐναιρομένων δʼ ἄρα φωτῶν,Τρωσί τε καὶ Δαναοῖσιν· ἐναιρομένων δ’ ἄρα φωτῶν,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,9,"δούρατα κεκμήκει, ξιφέων δʼ ἔθνῃσκον ἀπειλαί,","δούρατα κεκμήκει, ξιφέων δ’ ἔθνῃσκον ἀπειλαί,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,10,"σβέννυτο θωρήκων ἐνοπή, μινύθεσκε δʼ ἑλικτὴ","σβέννυτο θωρήκων ἐνοπή, μινύθεσκε δ’ ἑλικτὴ",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,11,"ἁρμονίη ῥηχθεῖσα φερεσσακέων τελαμώνων,","ἁρμονίη ῥηχθεῖσα φερεσσακέων τελαμώνων,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,12,"ἀσπίδες οὐκ ἀνέχοντο μένειν ἔτι δοῦπον ἀκόντων,","ἀσπίδες οὐκ ἀνέχοντο μένειν ἔτι δοῦπον ἀκόντων,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,13,"λύετο καμπύλα τόξα, κατέρρεον ὠκέες ἰοί.","λύετο καμπύλα τόξα, κατέρρεον ὠκέες ἰοί.",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,14,ἵπποι δʼ οἱ μὲν ἄνευθεν ἀεργηλῆς ἐπὶ φάτνης,ἵπποι δ’ οἱ μὲν ἄνευθεν ἀεργηλῆς ἐπὶ φάτνης,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,15,"οἰκτρὰ κάτω μύοντες ὁμόζυγας ἔστενον ἵππους,","οἰκτρὰ κάτω μύοντες ὁμόζυγας ἔστενον ἵππους,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,16,οἱ δʼ αὐτοὺς ποθέοντες ὀλωλότας ἡνιοχῆας.,οἱ δ’ αὐτοὺς ποθέοντες ὀλωλότας ἡνιοχῆας.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,17,"κεῖτο δὲ Πηλείδης μὲν ἔχων ἅμα νεκρὸν ἑταῖρον,","κεῖτο δὲ Πηλείδης μὲν ἔχων ἅμα νεκρὸν ἑταῖρον,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,18,"Ἀντιλόχῳ δʼ ἐπὶ παιδὶ γέρων ὠδύρετο Νέστωρ,","Ἀντιλόχῳ δ’ ἐπὶ παιδὶ γέρων ὠδύρετο Νέστωρ,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,19,Αἴας δʼ αὐτοφόνῳ βριαρὸν δέμας ἕλκεϊ λύσας,Αἴας δ’ αὐτοφόνῳ βριαρὸν δέμας ἕλκεϊ λύσας,tlg0647.tlg001.perseus-grc2.xml
