word,nucleus,length
αίδαο,1,L
αἰήταο,2,L
αἰακοῦ,1,S
αἰγίδ̓,1,S
αἰγίδι,1,S
αἰγίδι,2,S
αἰγίλιπα,3,S
αἰγίοχον,1,S
αἰγανέης,1,S
αἰγεΐδην,2,S
αἰγιόχου,1,S
αἰγυπιοὶ,1,S
αἰγυπιοὶ,2,S
αἰγυπιοῖσι,4,S
αἰγὰς,1,L
αἰδοίοισι,3,S
αἰδοίοισιν,3,S
αἰδοῖα,2,S
αἰειγενέτῃσι,5,S
αἰειγενέτῃσιν,5,S
αἰενάων,2,L
αἰζήιος,2,S
αἰθαλόεντα,1,S
αἰθαλόεντα,4,S
αἰθαλόεσσαν,4,S
αἰθιοπῆας,4,S
αἰνέας,2,L
αἰνήσουσι,3,S
αἰνήσωσιν,3,S
αἰνοτάτη,2,S
αἰνῇσιν,2,S
αἰολίδα,2,S
αἰολίδα,3,S
αἰολόμητιν,4,S
αἰπεινὰ,2,S
αἰπόλια,3,S
αἰπύν,1,S
αἰσονίδης,2,S
αἰσχύνωσι,1,L
αἰσχύνωσι,3,S
αἰτωλοῖσι,3,S
αἰχμάσσουσι,3,S
αἱματοέσσας,4,S
αἱματόεντ̓,1,S
αἱματόεσσαι,1,S
αἱμυλίοισι,4,S
αἱμυλίους,2,S
αἱμύλα,1,S
αἱμύλα,2,S
αἴαντας,2,S
αἴγιναν,2,S
αἴθωνα,2,S
αἴθωνας,2,S
αἴνυτ̓,1,S
αἴπειαν,2,S
αἴσχεσιν,2,S
αἴσχιστος,1,S
αἶα,1,S
αὐέρυον,2,S
αὐέρυσαν,3,S
αὐγείας,2,L
αὐλίδος,1,S
αὐλητῆρι,3,S
αὐτάς,1,L
αὐτίκ̓,1,S
αὐτίχ̓,1,S
αὐτομάτη,2,S
αὐτοσταδίῃ,3,S
αὐτοσχεδὰ,3,S
αὐτόγυον,2,S
αὐτὰς,1,L
αὐτῇσι,2,S
αὐτῇσιν,2,S
αὐχένας,2,S
αὔας,1,L
αὔλακι,1,S
αὔλακι,2,S
αὔῃσι,2,S
βάλ̓,0,S
βάλετ̓,0,S
βάλλ̓,0,S
βάλλε,0,S
βάλλεαι,0,S
βάλλει,0,S
βάλλειν,0,S
βάλλεν,0,S
βάλλεο,0,S
βάλλετ̓,0,S
βάλλετε,0,S
βάλλετο,0,S
βάλληται,0,S
βάλλον,0,S
βάλλονθ̓,0,S
βάλλονται,0,S
βάλλοντες,0,S
βάλλων,0,S
βάλοιο,0,S
βάλῃσι,2,S
βάλῃσιν,2,S
βάν,0,S
βέβασαν,2,S
βέλεμνα,2,S
βέλεσιν,2,S
βέλεϊ,2,S
βένθεα,2,S
βήσσῃσι,2,S
βίαντά,1,L
βίαντος,1,L
βίηφιν,2,S
βίον,0,S
βίος,0,S
βίοτον,0,S
βίου,0,S
βαθέ̓,0,S
βαθείῃσιν,3,S
βαθυδίνην,0,S
βαθυδίνην,1,S
βαθυδίνην,2,L
βαθὺν,1,S
βαθὺς,1,S
βαλλέμεν,0,S
βαλλομένη,0,S
βαλλομένοισιν,0,S
βαλλομένοισιν,4,S
βαλλομένων,0,S
βαλλόμεν̓,0,S
βαλλόμενα,0,S
βαλλόμενα,3,S
βαρέα,2,S
βαρείας,2,L
βαρεῖα,0,S
βαρεῖα,2,S
βαρεῖαν,2,S
βαρυνθέν,1,L
βαρυνθεὶς,1,L
βαρὺ,1,S
βαρὺν,0,S
βαρὺν,1,S
βασιλέων,0,S
βασιλέων,1,S
βασιλήιον,0,S
βασιλήιον,1,S
βασιλήιον,3,S
βασιλευέμεν,0,S
βασιλευέμεν,1,S
βασιλεῦσι,3,S
βασιληίδα,3,S
βασιληίδα,4,S
βασιλῆι,0,S
βασιλῆι,1,S
βασιλῆι,3,S
βασιλῆς,0,S
βασιλῆς,1,S
βατίειαν,3,S
βεβαῶτες,1,S
βεβριθυῖα,3,S
βεβρυχυῖα,1,L
βεβρυχυῖα,3,S
βελέεσσιν,3,S
βησσήεντα,3,S
βιβάς,1,L
βιότου,0,S
βλάπτε,0,S
βλάπτουσ̓,0,S
βλάπτῃ,0,S
βλάψας,0,S
βλάψας,1,L
βλάψε,0,S
βλάψει,0,S
βλάψεν,0,S
βλαπτομένοις,0,S
βλαφθέντα,0,S
βλαφθέντε,0,S
βλαφθεὶς,0,S
βλοσυραί,1,S
βλοσυροῖο,1,S
βοήσας,2,L
βοείας,2,L
βολάων,1,L
βοτοῖσιν,2,S
βουδόρα,2,S
βουκολίας,2,S
βουκολίωνι,4,S
βουλεύσαντε,2,S
βουλεύσαντι,2,S
βουλεύσαντι,3,S
βουλεύῃσι,3,S
βουλῇσι,2,S
βουσί,1,S
βουσίν,1,S
βοῶπις,2,S
βράδιον,0,S
βράσσων,0,S
βρίθειν,0,L
βριάοντα,3,S
βριθομένων,0,L
βριθόμενα,0,L
βριθόμενα,3,S
βριθόμενος,0,L
βρισάρματος,2,S
βρισηῒς,2,S
βροντήσας,2,L
βροτήσια,2,S
βροτήσια,3,S
βρώσιος,1,S
βόεια,2,S
βόεσσιν,2,S
βόησαν,2,S
βόσκωσι,2,S
βότρυας,1,S
βότρυας,2,S
βότρυς,1,S
βὰν,0,S
βῆσσάν,1,S
γάμος,0,S
γέλασαν,2,L
γέλασσαν,1,S
γέλασσαν,2,S
γέλασσε,1,S
γένεια,2,S
γένεσιν,2,S
γένεσις,2,S
γένυσσιν,1,S
γένυσσιν,2,S
γήθησαν,2,S
γήμαντα,2,S
γήμας,1,L
γήρασκε,1,L
γίγαντας,2,S
γαλάτεια,3,S
γαμεῖν,0,S
γαμοῖτο,0,S
γανύσσεται,1,S
γαῖάν,1,S
γείναθ̓,1,S
γείναντο,1,S
γείνασθαι,1,S
γείνατ̓,1,S
γείτονα,2,S
γείτονας,2,S
γείτοσι,2,S
γεγάασιν,1,S
γεγάασιν,2,L
γεγάασιν,3,S
γεγαῶτας,3,S
γεινομένοισι,4,S
γελάσας,1,S
γελάσας,2,L
γελάσσας,1,S
γελάσσας,2,L
γεράεσσιν,1,S
γεράεσσιν,3,S
γεράνου,1,S
γεράων,1,S
γεραιάς,2,L
γεραιὰς,2,L
γηθήσας,2,L
γηράντεσσι,1,L
γηράντεσσι,3,S
γηράσκοντα,1,L
γηράσκοντας,1,L
γηράσκοντας,3,S
γηρυονέα,4,S
γηρυονῆα,4,S
γηρυονῆι,4,S
γλάφυ,1,S
γλαυκῶπιν,2,S
γλυκερή,0,S
γλυκερὴν,0,S
γλῶσσαν,1,S
γναμπτάς,1,L
γονεῦσιν,2,S
γονόεσσαν,3,S
γονῆα,2,S
γοργυθίωνα,4,S
γουνάζεο,1,S
γουνάζομαι,1,S
γουναζέσθην,1,S
γουνοῖσιν,2,S
γούναθ̓,1,S
γούνατ̓,1,S
γρήνικόν,1,L
γραῖάν,1,S
γυάλοις,0,S
γυάλοις,1,S
γυναιξὶ,2,S
γυναιξὶν,2,S
γυναῖκ̓,0,S
γυναῖχ̓,0,S
γόμφοισιν,2,S
γύπεσσιν,2,S
γῆράς,1,S
δάκεν,0,S
δάκρὐ,1,S
δάμαρτι,1,L
δάμαρτι,2,S
δάμασ̓,0,S
δάμασ̓,1,S
δάμασεν,0,S
δάμασεν,1,S
δάμασσ̓,0,S
δάμασσ̓,1,S
δάμασσαν,1,S
δάμασσαν,2,S
δάμασσας,1,S
δάμασσας,2,S
δάμασσε,1,S
δάμασσεν,1,S
δάμασσον,1,S
δάμνασθαι,1,S
δάμναται,1,S
δάπτουσιν,2,S
δάσσαντο,0,S
δάσσασθαι,0,S
δέμνια,1,S
δέμνια,2,S
δέξασθαι,1,S
δέπασσιν,1,S
δέπασσιν,2,S
δέρματα,1,S
δέρματα,2,S
δήμητρα,2,S
δήσαντες,1,S
δήσασθαι,1,S
δί̓,0,S
δίδωσιν,0,S
δίδωσιν,2,S
δίεπ̓,0,S
δίη,0,L
δίκαζον,1,S
δίκαια,0,S
δίκαια,2,S
δίκαιον,0,S
δίκαιος,0,S
δίκας,0,S
δίκασσαι,0,S
δίκασσαι,1,S
δίκαἰ,0,S
δίκη,0,S
δίκῃς,0,S
δίκῃσιν,0,S
δίκῃσιν,2,S
δίνῃς,0,L
δίσκοισιν,2,S
δίχ̓,0,S
δίψαν,1,S
δαιδάλεα,3,S
δαιδαλέοισι,4,S
δαιδαλέοισιν,4,S
δαιμόνἰ,2,S
δαιτί,1,S
δακρυόεντα,4,S
δακρύσαντας,2,L
δαλοῖο,0,L
δαμάσθη,1,S
δαμάσσας,0,S
δαμάσσας,1,S
δαμάσσας,2,S
δαμάσσατο,1,S
δαμάσσεται,1,S
δαμάσσομεν,1,S
δαμάσσω,1,S
δαμάσσῃ,1,S
δαμέντ̓,0,S
δαμέντα,2,S
δαμέντας,2,S
δαμέντι,2,S
δαμαζόμενος,0,S
δαμαζόμενος,1,S
δαμασθείς,1,S
δαμασθεὶς,1,S
δαμασσάμενοί,1,S
δαναΐδης,2,S
δαρδάπτουσιν,3,S
δασσάμενος,0,S
δατέασθαι,0,S
δαφοιναί,0,S
δαῖτας,1,S
δείδοικας,2,S
δείελα,2,S
δείκνυ,1,S
δείκνυε,1,S
δείσαντας,1,L
δείσαντε,1,L
δεδάκρυνται,2,L
δειδιότα,3,L
δεικνύει,1,S
δεικνὺς,1,S
δεινοῖσι,2,S
δεινότατοι,2,S
δεινότατος,2,S
δειπνήσας,2,L
